network,station,channel
SS,14537,DP1
SS,10813,DPZ
SS,18011,DP2
SS,16684,DPZ
SS,17853,DP2
SS,14938,DP1
SS,15636,DP1
SS,05322,DPZ
SS,17877,DPZ
SS,10230,DPZ
SS,10197,DP1
SS,10190,DP1
SS,10813,DP1
SS,17016,DP2
SS,15157,DPZ
SS,10409,DPZ
SS,10841,DPZ
SS,15730,DP2
SS,15678,DP1
SS,05038,DP2
SS,15672,DP1
SS,18539,DP1
SS,14972,DP1
SS,10277,DP1
SS,19744,DP1
SS,17227,DP2
SS,18157,DPZ
SS,09654,DP2
SS,18157,DP1
SS,14712,DP2
SS,09304,DP2
SS,10190,DPZ
SS,10368,DP1
SS,10916,DP2
SS,14605,DPZ
SS,16415,DP1
SS,15249,DP1
SS,15007,DP2
SS,16684,DP1
SS,04916,DP1
SS,09574,DPZ
SS,10890,DPZ
SS,17024,DP1
SS,07111,DP2
SS,10188,DPZ
SS,09515,DP1
SS,09515,DP2
SS,06569,DP1
SS,17456,DP1
SS,17456,DP2
SS,09220,DP2
SS,10359,DPZ
SS,09548,DPZ
SS,16415,DP1
SS,15869,DP2
SS,18531,DP2
SS,17215,DPZ
SS,09220,DP2
SS,10277,DPZ
SS,18531,DP2
SS,14411,DP2
SS,10759,DP1
SS,15967,DP2
SS,09270,DP1
SS,20247,DP1
SS,10841,DPZ
SS,05338,DPZ
SS,16814,DP2
SS,17542,DP2
SS,15672,DP1
SS,09220,DPZ
SS,10386,DP2
SS,18531,DPZ
SS,16598,DPZ
SS,05322,DPZ
SS,10872,DP2
SS,09410,DP1
SS,16707,DPZ
SS,17024,DPZ
SS,16980,DPZ
SS,17373,DPZ
SS,10891,DPZ
SS,17521,DPZ
SS,07357,DP1
SS,10872,DP2
SS,10222,DP2
SS,10505,DP2
SS,15350,DP1
SS,18365,DP2
SS,18596,DP1
SS,14837,DP1
SS,10202,DP2
SS,09448,DP2
SS,10691,DPZ
SS,15753,DP1
SS,17875,DP2
SS,14625,DP2
SS,15678,DPZ
SS,18463,DP2
SS,17859,DP1
SS,14712,DP2
SS,17892,DP1
SS,09914,DP2
SS,09806,DP1
SS,14578,DPZ
SS,10776,DP1
SS,18272,DPZ
SS,17683,DPZ
SS,10899,DPZ
SS,10820,DP2
SS,17227,DP1
SS,17859,DPZ
SS,18739,DP1
SS,07499,DPZ
SS,15729,DPZ
SS,16870,DPZ
SS,10202,DP1
SS,10399,DP1
SS,05230,DP1
SS,10913,DPZ
SS,17875,DPZ
SS,19267,DP2
SS,10406,DP2
SS,17877,DP2
SS,18739,DPZ
SS,17892,DP1
SS,10830,DP2
SS,16980,DPZ
SS,17024,DPZ
SS,10330,DPZ
SS,05338,DPZ
SS,07499,DP2
SS,15367,DP1
SS,10841,DP1
SS,15907,DPZ
SS,10222,DP2
SS,10893,DP1
SS,09629,DP1
SS,15869,DP2
SS,09574,DP1
SS,10691,DP2
SS,10845,DP2
SS,16684,DP1
SS,10922,DPZ
SS,09548,DP1
SS,15678,DPZ
SS,05322,DP2
SS,10915,DP1
SS,04909,DPZ
SS,16507,DP2
SS,18462,DP1
SS,17223,DPZ
SS,16490,DP2
SS,16006,DP1
SS,07357,DPZ
SS,05283,DP2
SS,10399,DP1
SS,14972,DPZ
SS,18272,DPZ
SS,10776,DP1
SS,10586,DP2
SS,10399,DPZ
SS,10867,DPZ
SS,10899,DPZ
SS,17859,DP1
SS,15729,DP1
SS,10916,DP1
SS,09448,DP1
SS,10591,DP2
SS,09332,DP2
SS,17542,DP2
SS,14461,DPZ
SS,10817,DP1
SS,16870,DP1
SS,10798,DP1
SS,06585,DP1
SS,10252,DP2
SS,10222,DP1
SS,10915,DPZ
SS,10872,DP2
SS,10359,DP2
SS,04973,DP1
SS,10913,DP1
SS,17809,DP2
SS,15576,DP1
SS,17859,DP1
SS,16598,DP1
SS,10222,DPZ
SS,17940,DP2
SS,18463,DP2
SS,18011,DPZ
SS,16870,DP2
SS,10737,DPZ
SS,15967,DP2
SS,04275,DP2
SS,14753,DP1
SS,09914,DP2
SS,10922,DP1
SS,17456,DP2
SS,07499,DPZ
SS,10891,DPZ
SS,10737,DP1
SS,16490,DP2
SS,14764,DP1
SS,09637,DP2
SS,10330,DPZ
SS,17130,DP1
SS,10922,DP1
SS,17929,DP2
SS,17521,DP1
SS,10485,DP1
SS,10421,DP1
SS,10509,DPZ
